Japanese,English
にんげん,Human
じんるい,Humanity
ひと,people
おとこ,man
おとこのひと,Man
おとこのこ,Boy
おんな,Woman
おんなのひと,Woman
おんなのこ,Girl
あかちゃん,baby
わかもの,Young people
わたし,I
わたくし,I
ぼく,I
おれ,I
あたし,I
しょうじょ,Girl
しょうねん,Junior high school student
いしゃ,doctor
かんごし,Doctor
かんごふ,Nurse
しかい,But
はいしゃ,Doctor
せいじか,Seijika
べんごし,Pedagogue
しょうぼうし,Firefighter
けいさつかん,Police officer
へいし,soldier
けんちくか,Architect
せんせい,teacher
きょうし,Teacher
かしゅ,Kashu
エンジニア,engineer
あし,legs
かかと,heel
すね,Shin
ひざ,knee
もも,peach
あたま,head
かお,face
くち,mouth
くちびる,Lips
は,teeth
はな,Hana
め,eye
ひげ,beard
かみ,paper
みみ,Ear
おなか,stomach
うで,Arm
ひじ,elbow
かた,shoulder
つめ,Claws
て,hand
てくび,wrist
てのひら,palm
ゆび,Finger
しり,Butt
おなか,stomach
かんぞう,Kanzo
きも,Kimo
きんにく,Muscle
くび,neck
こころ,heart
こし,Strain
しんぞう,Shinzo
せなか,back
ち,Chi
にく,Meat
はだ,Skin
ひふ,Skin
ほね,bone
むね,Breast
かぜ,cold
げり,Geri
びょうき,sickness
かぞく,family
りょうしん,Ryoushin
こども,child
ちち,Father
はは,mother
つま,wife
おっと,Oops
あに,Brother
あね,Older sister
おとうと,younger brother
いもうと,younger sister
きょうだい,siblings
しまい,End
そふ,Soft
そぼ,Sobo
まご,Grandson
おじ,Uncle
おば,Aunt
いとこ,cousin
めい,niece
おい,Hey
いきもの,Living things
ばけもの,monster
どうぶつ,Animals
チーター,Cheetah
いぬ,dog
ねこ,cat
うし,Cow
ぶた,pig
うま,horse
ひつじ,Sheep
さる,Monkey
ねずみ,Mouse
とら,Tora
オオカミ,Wolf
うさぎ,rabbit
りゅう,dragon
しか,deer
かえる,change
がま,Toad
しし,Leo
キリン,giraffe
ぞう,elephant
とり,bird
にわとり,chicken
すずめ,Sparrow
からす,Crow
わし,"eagle, I"
たか,Taka
さかな,Fish
たい,sea ​​bream
えび,shrimp
いわし,sardines
まぐろ,tuna
かつお,bonito
さんま,Pacific saury
あじ,Horse mackerel
さば,Mackerel
イカ,squid
タコ,Octopus
むし,insect
ちょう,butterfly
ガ,Ga
せみ,cicada
トンボ,dragonfly
バッタ,Grasshopper
クモ,spider
ホタル,Fireflies
ハエ,Flies
カ,mosquito
ゴキブリ,cockroach
カタツムリ,snails
ナメクジ,slug
ミミズ,earthworms
かい,shellfish
かいがら,Shell
トカゲ,lizard
へび,snake
くま,bear
しょくぶつ,plants
くさ,grass
はな,Hana
み,fruit
き,tree
は,teeth
ね,hey
くき,stem
きのこ,mushrooms
きく,listen
さくら,cherry blossoms
まつ,pine tree
うめ,Ume
こめ,rice
いね,Like
むぎ,Barley
やさい,vegetable
くだもの,Fruit
いも,potato
まめ,Beans
だいこん,radish
にんじん,Carrots
リンゴ,apple
ミカン,tangerines
バナナ,banana
ナシ,No
クリ,chestnut
モモ,Momo
トマト,tomato
スイカ,watermelon
たべもの,Food
ちょうしょく,Meals
ひるごはん,Lunch
ばんごはん,Dinner
ごはん,Rice
みそ,Miso
りょうり,meal
サラダ,salad
デザート,Dessert
パン,bread
サンドイッチ,sandwich
おやつ,snack
アイスクリーム,ice cream
たこやき,Takoyaki
のみもの,Drinks
ちゃ,tea
おちゃ,Ocha
コーヒー,coffee
ぎゅうにゅう,Milk
みず,water
ビール,Beer 
ワイン,wine
さとう,sugar
しお,Salt
しょうゆ,soy sauce
じかん,time
とき,Time
こよみ,Calendar
ふん,Huh
びょう,tack
ひ,fire
にち,day
つき,moon
がつ,February
とし,year
ねん,year
きのう,yesterday
さくじつ,Production
きょう,today
あした,tomorrow
あす,tomorrow
みょうにち,Myonichi
あさ,morning
ひる,Lunch
ゆうがた,Evening
ばん,Ban
よる,evening
ようび,Wednesday
しゅう,Week
いっしゅうかん,One week
にちようび,Sunday
げつようび,Monday
かようび,Wednesday
すいようび,Wednesday
もくようび,Wednesday
きんようび,Friday
どようび,Saturday
たいよう,Sun
つき,moon
ほし,star
てんき,weather
はれ,Swelling
あめ,candy
くもり,Cloudy
ゆき,snow
かぜ,cold
かみなり,Thunder
たいふう,typhoon
あらし,storm
そら,Sky
きた,came
ひがし,East
みなみ,Minami
にし,west
ここ,here
そこ,There
あそこ,over there
みぎ,right
ひだり,Left
うえ,up
した,did
まえ,front
うしろ,Behind
むこう,Over there
ななめ,Diagonal
てまえ,In front
とおい,far away
ちかい,close
みず,water
ゆ,hot water
こおり,Ice
ゆげ,Yuge
ひ,fire
ガス,gas
くうき,Air
つち,Earth
きんぞく,Gold
どろ,Mud
けむり,smoke
てつ,Iron
どう,copper
きん,gold
ぎん,Gin
なまり,accent
しお,Salt
メートル,meters
リットル,liter
グラム,grams
キロ,kilo
ミリ,Milli
センチメートル,centimeters
センチ,centimeter
インチ,inch
しゃかい,society
けいざい,economy
かいしゃ,company
かいぎ,meeting
がっこう,school
やくしょ,Agreement
みせ,shop
ホテル,Hotel
こうじょう,factory
かね,Money
さつ,Satsu
こぜに,Kozeni
つりせん,Suspension bridge
じどうはんばいき,Automobile
きっぷ,Ticket
きって,Cut
つくえ,desk
いす,chair
たたみ,Tatami
と,and
とびら,Door
ドア,door
まど,window
ふとん,futon
げんかん,Genkan
いえ,home
エレベーター,elevator
エスカレーター,escalator
でんき,electricity
くぎ,nail
ひも,string
なわ,rope
ふくろ,bag
かばん,bag
かさ,umbrella
かぎ,Key
ちょうこく,Chokoku
ぶんぼうぐ,Grammar
インク,ink
ペン,pen
ボールペン,ballpoint pen
まんねんひつ,"100,000 yen"
えんぴつ,pencil
ふで,Brush
チョーク,Chalk
けしゴム,Eraser
えんぴつけずり,Pencil sharpening
じょうぎ,Ruler
ノート,Notes
にっき,Diary
カバー,cover
ふうとう,envelope
はさみ,scissors
ホッチキス,stapler
ふく,wipe
ようふく,clothing
きもの,kimono
わふく,Wafuku
そで,sleeve
えり,Collar
ボタン,button
チャック,zipper
ファスナー,fastener
ジッパー,zipper
ベルト,belt
くつ,shoes
くつした,socks
めがね,glasses
てつどう,Railway
えき,at
ひこうき,airplane
くうこう,airport
ひこうじょう,Airplane
みち,road
どうろ,Road
バスてい,Bus stop
とおり,As expected
でんしゃ,train
くるま,car
じどうしゃ,car
じてんしゃ,bicycle
もじ,Letters
じ,character
かんじ,Feeling
ひらがな,Hiragana
カタカナ,Katakana
すうじ,Numbers
アルファベット,alphabet
ローマ字,Roman letters
がいこくご,Foreign language
にほんご,Japanese
えいご,english
ちゅうごくご,Chinese
どいつご,Which one?
すぺいんご,Spain
ふらんすご,Francego
ちょうせんご,Challenge
かんこくご,Korean
ほん,book
かみ,paper
てがみ,Letter
しんぶん,newspaper
じしょ,Dictionary
パソコン,PC
いろ,colour
あか,red
きいろ,yellow
みどり,Green
あお,blue
むらさき,Purple
しろ,white
くろ,black
ピンク,pink
ちゃいろ,Brown
はいいろ,Yellow
え,picture
おんがく,Music
りか,Rika
さんすう,Math
れきし,History
ちり,Dust
たいいく,Exercise
スポーツ,Sports
システム,system
じょうほう,information
ひつよう,need
べんきょう,study
いらい,Irai
れい,spirit
ゼロ,zero
零,zero
いち,one
に,to
さん,Mr. Miss.
よん,four
し,death
ご,Go
ろく,6
なな,seven
しち,Shichi
はち,bee
きゅう,nine
く,Ku
じゅう,gun
ひゃく,100
せん,plug
まん,full
おく,put
ひとつ,one
ふたつ,Two
みっつ,Three
よっつ,Four
いつつ,When
むっつ,Mutsu
ななつ,Seven
やっつ,Yatsu
ここのつ,Kokonotsu
とお,Too
これ,this
それ,that
あれ,That
どれ,which one
こちら,Here
こっち,This way
そちら,there
そっち,Over there
あちら,there
あっち,Over there
どちら,Which
どっち,Which one?
ひみつ,Secret
じどう,car
ないよう,Not so
はば,Width
せいしき,Ethics
けっこん,marriage
げんざい,now
いま,now
かこ,Kako
みらい,Mirai
いい,good
よい,good
すごい,amazing
すばらしい,wonderful
わるい,bad
たかい,high
ひくい,Low
やすい,Cheap
おおきい,Big
ちいさい,small
ほそい,Thin
ふとい,Thick
ふるい,sieve
あたらしい,new
わかい,Young
かるい,Light
おもい,thought
やさしい,kind
むずかしい,Difficult
やわらかい,soft
かたい,Hard
あつい,hot
つめたい,Cold
さむい,cold
おいしい,delicious
うまい,good
まずい,bad
あまい,Sweet
からい,spicy
しょっぱい,Salty
にがい,bitter
うつくしい,Beautiful
うれしい,happy
たのしい,fun
かなしい,Sad
さびしい,lonely
さみしい,Lonely
こわい,scary
いたい,Ouch
かゆい,itch
くさい,stink
つらい,tough
する,do
やる,do
いる,There are
ある,be
なる,become
おこる,get angry
あらわれる,appear
いきる,Live
うむ,Yes
しぬ,Die
こわれる,Break
いく,go
くる,Come
かえる,change
あるく,Walk
とぶ,Fly
およぐ,swim
うごく,Move
おどる,Dancing
ねる,Sleep
うたう,Sing
かむ,Chew
たべる,Eat
のむ,Drink
さわる,Touch
なげる,Throw
もつ,Offal
うつ,depression
なぐる,Hit
さす,Sasu
ける,Can
すわる,Sit
たつ,Tatsu
はしる,Run
あく,evil
こむ,Komu
いる,There are
かわく,Dry
みだす,disturb
みだれる,Disturbed
つかえる,Usable
そなわる,Prepare
すぐれる,Excellent
ひえる,Chill
さめる,wake up
むく,swelling
たおれる,fall down